Depth (m)          Deflection (mm)                        
2.64000                 43.83544                        
2.76000                 40.76007                        
2.76000                 40.76007                        
2.88000                 37.67490                        
2.88000                 37.67490                        
3.00000                 34.58491                        
3.00000                 34.58491                        
3.12000                 31.49517                        
3.12000                 31.49517                        
3.24000                 28.41078                        
3.24000                 28.41078                        
3.36000                 25.33693                        
3.36000                 25.33693                        
3.48000                 22.27886                        
3.48000                 22.27886                        
3.60000                 19.24190                        
3.60000                 19.24190                        
3.72000                 16.23140                        
3.72000                 16.23140                        
3.84000                 13.25283                        
3.84000                 13.25283                        
3.96000                 10.31170                        
3.96000                 10.31170                        
4.08000                  7.41363                        
4.08000                  7.41363                        
4.20000                  4.56431                        
4.20000                  4.56431                        
4.32000                  1.77717                        
4.32000                  1.77717                        
4.44000                 -0.91706                        
4.44000                 -0.91706                        
4.56000                 -3.49816                        
4.56000                 -3.49816                        
4.68000                 -5.96416                        
4.68000                 -5.96416                        
4.80000                 -8.31292                        
4.80000                 -8.31292                        
4.92000                -10.54212                        
4.92000                -10.54212                        
5.04000                -12.64912                        
5.04000                -12.64912                        
5.16000                -14.63087                        
5.16000                -14.63087                        
5.28000                -16.48364                        
5.28000                -16.48364                        
5.40000                -18.20280                        
5.40000                -18.20280                        
5.52000                -19.78227                        
5.52000                -19.78227                        
5.64000                -21.21369                        
5.64000                -21.21369                        
5.76000                -22.48502                        
5.76000                -22.48502                        
5.88000                -23.45041                        
5.88000                -23.45041                        
6.00000                -23.92595                        
6.00000                -23.92595                        
6.12000                -23.91140                        
6.12000                -23.91140                        
6.24000                -23.48730                        
6.24000                -23.48730                        
6.36000                -22.72697                        
6.36000                -22.72697                        
6.48000                -21.71996                        
6.48000                -21.71996                        
6.60000                -20.59031                        
6.60000                -20.59031                        
6.72000                -19.41649                        
6.72000                -19.41649                        
6.84000                -18.21332                        
6.84000                -18.21332                        
6.96000                -16.99230                        
6.96000                -16.99230                        
7.08000                -15.76265                        
7.08000                -15.76265                        
7.20000                -14.53199                        
7.20000                -14.53199                        
7.32000                -13.30668                        
7.32000                -13.30668                        
7.44000                -12.09218                        
